location_id,location_name,country_name,provider_name,owner_name,is_mobile,is_monitor,instrument_name
5667,"Bhopal Chauraha, Dewas - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
5742,"Patparganj, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5743,"Rohini, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5745,"Ghusuri, Howrah - WBPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5753,"Vivek Vihar, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5754,"Jawaharlal Nehru Stadium, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5755,"Major Dhyan Chand National Stadium, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5759,"Sonia Vihar, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5760,"Dwarka-Sector 8, Delhi - DPCC ",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5761,"Jahangirpuri, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5762,"Ashok Vihar, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5763,"Narela, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5765,"Okhla Phase-2, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5766,"Nehru Nagar, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
6310,"Rabindra Bharati University, Kolkata - WBPCB",India,data.gov.in,Unknown Governmental Organization,False,True,Government Monitor
6314,"NISE Gwal Pahari, Gurugram - IMD",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
6356,"Pusa, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6357,"Punjabi Bagh, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
6358,"Mandir Marg, New Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6359,"IHBAS, Dilshad Garden,New Delhi - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
6442,"Ratanpura, Rupnagar - Ambuja Cements",India,CPCB,Ambuja Cement,False,True,Government Monitor
6443,"Bandhavgar Colony, Satna - Birla Cement",India,CPCB,MP Birla Cement,False,True,Government Monitor
6920,"Manali Village, Chennai - TNPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
6923,"New Mandi, Muzaffarnagar - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
6924,"Indirapuram, Ghaziabad - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
6927,"Colaba, Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6928,"Vasai West, Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6930,"Gobind Pura, Yamuna Nagar - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6931,"Dwarka-Sector 8, Delhi - DPCC ",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6932,"Alipur, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6933,"Shasthri Nagar, Ratlam - IPCA Lab",India,CPCB,IPCA Laboratories,False,True,Government Monitor
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6935,"Urban Estate-II, Hisar - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6936,"Arya Nagar, Bahadurgarh - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6937,"Sector-10, Gandhinagar - GPCB",India,CPCB,Gujarat Pollution Control Board,False,True,Government Monitor
6938,"Vivek Vihar, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6939,"Hardev Nagar, Bathinda - PPCB",India,CPCB,Punjab Pollution Control Board,False,True,Government Monitor
6940,"Kalal Majra, Khanna - PPCB",India,CPCB,Punjab Pollution Control Board,False,True,Government Monitor
6941,"Railway Colony, Guwahati - APCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
6942,"Phase-4 GIDC, Vatva - GPCB",India,CPCB,Gujarat Pollution Control Board,False,True,Government Monitor
6943,"Mahape, Navi Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6944,"H.B. Colony, Bhiwani - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6945,"Kurla, Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6946,"Belur Math, Howrah - WBPCB",India,CPCB,West Bengal Pollution Control Board,False,True,Government Monitor
6947,"General Hospital, Mandikhera - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6949,"Municipal Corporation Office, Dharuhera -  HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6950,"Jadavpur, Kolkata - WBPCB",India,CPCB,West Bengal Pollution Control Board,False,True,Government Monitor
6951,"Murthal, Sonipat - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6952,"F-Block, Sirsa - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6953,"Sector-2 IMT, Manesar - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6954,"Chikkaballapur Rural, Chikkaballapur - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6955,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6956,"Powai, Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6958,"Sector-18, Panipat - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6959,"Siddharth Nagar-Worli, Mumbai - IITM",India,CPCB,Indian Institute of Tropical Meteorology,False,True,Government Monitor
6960,"Patparganj, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
6961,"Shrivastav Colony, Damoh - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
6962,"GIDC, Ankleshwar - GPCB",India,CPCB,Gujarat Pollution Control Board,False,True,Government Monitor
6963,"Police Lines, Jind - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6964,"Patti Mehar, Ambala - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6965,"Borivali East, Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6966,"Udyogamandal, Eloor - Kerala PCB",India,CPCB,Kerala State Pollution Control Board,False,True,Government Monitor
6967,"Sion, Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6968,"Phase-1 GIDC, Vapi - GPCB",India,CPCB,Gujarat Pollution Control Board,False,True,Government Monitor
6969,"Huda Sector, Fatehabad - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6970,"Shastri Nagar, Narnaul - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6971,"Rishi Nagar, Kaithal - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6972,"Nathu Colony, Ballabgarh - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
6973,"Jayanagar 5th Block, Bengaluru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6974,"Bapuji Nagar, Bengaluru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6975,"Silk Board, Bengaluru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6976,"Jai Bhim Nagar, Meerut - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
6978,"Knowledge Park - III, Greater Noida - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
6979,"New Collectorate, Baghpat - UPPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
6980,"Sector-1, Noida - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
6981,"Fort William, Kolkata - WBPCB",India,CPCB,West Bengal Pollution Control Board,False,True,Government Monitor
6982,"Deshpande Nagar, Hubballi - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6983,"Hombegowda Nagar, Bengaluru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6984,"Hebbal, Bengaluru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
6985,"Yamunapuram, Bulandshahr - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
6986,"Knowledge Park - V, Greater Noida - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
6987,"Vile Parle West, Mumbai - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
6988,"Sector-116, Noida - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
7005,"Loni, Ghaziabad - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
7044,"R K Puram, Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
7140,"Gomti Nagar, Lucknow - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
7280,"Shyam Nagar, Palwal - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
7281,"Shyam Nagar, Palwal - HSPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
7282,"Sector-7, Kurukshetra - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
7283,"MD University, Rohtak - HSPCB",India,CPCB,Haryana State Pollution Control Board,False,True,Government Monitor
7289,"Hebbal 1st Stage, Mysuru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
7292,"Chhoti Gwaltoli, Indore - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
7299,"Gole Bazar, Katni - MPPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
7434,"East Arjun Nagar, Delhi - CPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
7494,"SFTI Kusdihra, Gaya - BSPCB",India,CPCB,Bihar State Pollution Control Board,False,True,Government Monitor
7495,"DRM Office Danapur, Patna - BSPCB",India,CPCB,Bihar State Pollution Control Board,False,True,Government Monitor
7583,"ICRISAT Patancheru, Hyderabad - TSPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
7720,"Pallavpuram Phase 2, Meerut - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
7752,"Khadakpada, Kalyan - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
7777,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
7833,"Ganga Nagar, Meerut - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
7850,"Bandra, Mumbai - MPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
7880,"Sikulpuikawn, Aizawl - Mizoram PCB",India,CPCB,Mizoram Pollution Control Board,False,True,Government Monitor
7901,"Corporation Ground, Thrissur- Kerala PCB",India,CPCB,Kerala State Pollution Control Board,False,True,Government Monitor
7979,"Deen Dayal Nagar, Sagar - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
8035,"Ibrahimpur, Vijayapura - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
8039,Mumbai,India,AirNow,Unknown Governmental Organization,False,True,Government Monitor
8092,"East Arjun Nagar, Delhi - CPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
8118,New Delhi,India,AirNow,Unknown Governmental Organization,False,True,Government Monitor
8153,"Urban, Chamarajanagar - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
8171,"GIDC, Nandesari - Nandesari Ind. Association",India,CPCB,Nandesari Industries Association,False,True,Government Monitor
8172,US Diplomatic Post: Kolkata,India,StateAir Kolkata,Unknown Governmental Organization,False,True,Government Monitor
8190,"Kariavattom, Thiruvananthapuram - Kerala PCB",India,CPCB,Kerala State Pollution Control Board,False,True,Government Monitor
8235,"Jahangirpuri, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
8239,"Okhla Phase-2, Delhi - DPCC",India,CPCB,Delhi Pollution Control Committee,False,True,Government Monitor
8245,"Gole Bazar, Katni - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
