ID,Location
3409322,"Pimpleshwar Mandir, Thane - MPCB"
3409323,"Worli, Mumbai - MPCB"
3409328,"Bandra Kurla Complex, Mumbai - IITM"
3409329,"Deonar, Mumbai - IITM"
3409331,"Bhosari, Pune - IITM"
3409334,"Ashwini Nagar, Haveri - KSPCB"
3409335,"B.Katihalli, Hassan - KSPCB"
3409336,"GIFT City, Gandhinagar - IITM"
3409338,"DRCC Anandpur, Begusarai - BSPCB"
3409339,"Central Jail, Buxar - BSPCB"
3409340,"Zero Point GICI, Gangtok - SSPCB"
3409341,"Manipur University, Imphal - Manipur PCB"
3409342,"DM College of Science, Imphal - Manipur PCB"
3409343,"Keelapalur, Ariyalur - TNPCB"
3409344,"Municipal Corporation Office, Tirunelveli - TNPCB"
3409345,"Parisutham Nagar, Thanjavur - TNPCB"
3409346,"Semmandalam, Cuddalore - TNPCB"
3409347,"SIPCOT Phase-1, Hosur - TNPCB"
3409348,"Uchapatti, Madurai - TNPCB"
3409349,"Vasanthapuram, Vellore - TNPCB"
3409350,"Velippalayam, Nagapattinam - TNPCB"
3409351,"VOC Nagar_SIPCOT, Ranipet - TNPCB"
3409353,"Kilambi, Kanchipuram - TNPCB"
3409354,"Kudikadu, Cuddalore - TNPCB"
3409355,"Sona College of Technology, Salem - TNPCB"
3409356,"Bharathidasan University, Palkalaiperur - TNPCB"
3409357,"Kamadenu Nagar, Karur - TNPCB"
3409358,"St Joseph College, Tiruchirappalli - TNPCB"
3409359,"Kalabhavan, Dharwad - KSPCB"
3409360,"IITG, Guwahati - PCBA"
3409361,"AIIMS, Raipur - CECB"
3409362,"Siltara Phase-II, Raipur - CECB"
3409363,"Krishak Nagar, Raipur - CECB"
3409364,"Bhatagaon New ISBT, Raipur - CECB"
3409365,"Rampur, Korba - CECB"
3409366,"Urja Nagar, Korba - CECB"
3409367,"Hathkhoj, Bhilai - CECB"
3409368,"32Bungalows, Bhilai - CECB"
3409369,"Maharaj Bada, Gwalior - MPPCB"
3409370,"Civil Lines, Sagar - MPPCB"
3409371,"Science Center, Surat - SMC"
3409372,"Gangineni Cheruvu, Chittoor - APPCB"
3409373,"Vaikuntapuram, Tirupathi - APPCB"
3409374,"Deen Dayal Nagar, Gwalior - MPPCB"
3409375,"Bata Chowk, Nalbari - PCBA"
3409376,"Central Academy for SFS, Byrnihat - PCBA"
3409377,"Meher Colony, Baripada - OSPCB"
3409378,"Jagamohanpur, Keonjhar - OSPCB"
3409379,"Divisional Forest Office, Rairangpur - OSPCB"
3409380,"Tata Township, Bileipada - OSPCB"
3409381,"Dabuna, Nayagarh - OSPCB"
3409382,"Raghunathpali, Rourkela - OSPCB"
3409383,"OMC Colony, Suakati - OSPCB"
3409384,"Barsua Iron Ore Mines, Tensa - OSPCB"
3409385,"RVCE-Mailasandra, Bengaluru - KSPCB"
3409386,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB"
3409387,"Lingaraj Nagar, Hubballi - KSPCB"
3409388,"Kasturi Nagar, Bengaluru - KSPCB"
3409389,"Thimmalapura, Tumakuru - KSPCB"
3409390,"LGBI Airport, Guwahati - PCBA"
3409391,"Tarapur, Silchar - PCBA"
3409392,"Kanuru, Vijayawada - APPCB"
3409393,"Shivapura_Peenya, Bengaluru - KSPCB"
3409394,"Fertilizer Township, Rourkela - OSPCB"
3409395,"Sector-2, Rourkela - OSPCB"
3409396,"Nawapara SECL Colony, Chhal - CECB"
3409397,"OP Jindal School, Kunjemura - CECB"
3409398,"Govt. Higher Secondary School, Milupara - CECB"
3409399,"OP Jindal Industrial Park, Tumidih - CECB"
3409400,"Yerramukkapalli, Kadapa - APPCB"
3409401,"Samrat Ashok Udhyan, Jodhpur - RSPCB"
3409402,"Krishna Nagar, Bharatpur - RSPCB"
3409403,"MM Ground, Bikaner - RSPCB"
3409404,"Subash Chowk, Churu - RSPCB"
3409405,"Raja Ganj, Dholpur - RSPCB"
3409406,"Nayapura, Kota - RSPCB"
3409407,"Shastri Nagar, Tonk - RSPCB"
3409408,"Shivaji Nagar, Rishikesh - UKPCB"
3409409,"Govt. Girls Inter College, Kashipur - UKPCB"
3409410,"Vedhaynath Colony, Sirohi - RSPCB"
3409411,"Christianpatty, Nagaon - PCBA"
3409412,"Dhanmandi, Kota - RSPCB"
3409413,"Idgah Hills, Bhopal - MPPCB"
3409414,"Vijay Nagar Scheme-78, Indore - Glenmark"
3409415,"Sardar Patel Nagar, Dhanbad - JSPCB"
3409416,"Rati Talai, Banswara - RSPCB"
3409417,"Shastri Nagar, Chittorgarh - RSPCB"
3409418,"Khatikan Mohalla, Dausa - RSPCB"
3409419,"Railway Colony, Barmer - RSPCB"
3409420,"Housing Board, Hanumangarh - RSPCB"
3409421,"Sahu Nagar, Sawai Madhopur - RSPCB"
3409422,"Indra Nagar, Jhunjhunu - RSPCB"
3409423,"Dhoinda, Rajsamand - RSPCB"
3409424,"Old City, Sri Ganganagar - RSPCB"
3409425,"Jhalamand, Jodhpur - RSPCB"
3409426,"Pragati Nagar, Pratapgarh - RSPCB"
